packet_counter,decrypt_time_ns,decrypt_time_us
838,47236,47.236
839,66274,66.274
840,144743,144.743
841,64220,64.22
842,49337,49.337
843,82123,82.123
844,61788,61.788
845,55661,55.661
846,92490,92.49
847,48956,48.956
848,164821,164.821
849,48531,48.531
850,46055,46.055
851,44205,44.205
852,42763,42.763
853,56705,56.705
854,51413,51.413
855,52425,52.425
856,64768,64.768
857,53838,53.838
858,46349,46.349
859,56968,56.968
860,46958,46.958
861,47862,47.862
862,142374,142.374
863,51050,51.05
864,56027,56.027
865,49651,49.651
866,49430,49.43
867,41814,41.814
868,54495,54.495
869,51332,51.332
870,46850,46.85
871,58033,58.033
872,185648,185.648
873,85976,85.976
874,80426,80.426
875,56216,56.216
876,59198,59.198
877,51218,51.218
878,64164,64.164
879,52963,52.963
880,45919,45.919
881,75843,75.843
882,55726,55.726
883,55946,55.946
884,56432,56.432
885,62398,62.398
886,54890,54.89
887,69102,69.102
888,85901,85.901
889,76157,76.157
890,73585,73.585
891,102846,102.846
892,261312,261.312
893,90097,90.097
894,76104,76.104
895,76781,76.781
896,85372,85.372
897,80464,80.464
898,87275,87.275
899,87585,87.585
900,231654,231.654
901,88952,88.952
902,74971,74.971
903,90950,90.95
904,85210,85.21
905,83626,83.626
906,121571,121.571
907,63829,63.829
908,100623,100.623
909,78288,78.288
910,178240,178.24
911,77472,77.472
912,73379,73.379
913,81162,81.162
914,256341,256.341
915,72575,72.575
916,91952,91.952
917,73146,73.146
918,89992,89.992
919,132129,132.129
920,76954,76.954
921,90736,90.736
922,74747,74.747
923,93574,93.574
924,88490,88.49
925,78120,78.12
926,87769,87.769
927,80224,80.224
928,89766,89.766
929,76935,76.935
930,73736,73.736
931,145466,145.466
932,78631,78.631
933,96152,96.152
934,184489,184.489
935,71551,71.551
936,75710,75.71
937,81401,81.401
938,67875,67.875
939,74368,74.368
940,67061,67.061
941,66721,66.721
942,54642,54.642
943,75320,75.32
944,66717,66.717
945,68123,68.123
946,74365,74.365
947,74143,74.143
948,118627,118.627
949,63329,63.329
950,70889,70.889
951,66688,66.688
952,69570,69.57
953,82965,82.965
954,66768,66.768
955,80727,80.727
956,65563,65.563
957,69209,69.209
958,71918,71.918
959,74829,74.829
960,169089,169.089
961,88207,88.207
962,83046,83.046
963,75316,75.316
964,61122,61.122
965,67046,67.046
966,77022,77.022
967,63196,63.196
968,70327,70.327
969,66295,66.295
970,63388,63.388
971,52199,52.199
