packet_counter,encrypt_time_ns,encrypt_time_us
875,63738,63.738
876,87618,87.618
877,99523,99.523
878,96358,96.358
879,111070,111.07
880,429293,429.293
881,122234,122.234
882,112300,112.3
883,96924,96.924
884,99817,99.817
885,116586,116.586
886,105011,105.011
887,146108,146.108
888,92386,92.386
889,215865,215.865
890,163704,163.704
891,104214,104.214
892,208096,208.096
893,99337,99.337
894,120905,120.905
895,134281,134.281
896,106176,106.176
897,77758,77.758
898,62988,62.988
899,67647,67.647
900,61651,61.651
901,70803,70.803
902,91115,91.115
903,87975,87.975
904,94404,94.404
905,69642,69.642
906,70315,70.315
907,59678,59.678
908,63768,63.768
909,57017,57.017
910,65304,65.304
911,57877,57.877
912,65464,65.464
913,64795,64.795
914,120449,120.449
915,61358,61.358
916,67267,67.267
917,107233,107.233
918,69959,69.959
919,85224,85.224
920,90637,90.637
921,75010,75.01
922,91233,91.233
923,146481,146.481
924,94643,94.643
925,73773,73.773
926,75033,75.033
927,110830,110.83
928,90430,90.43
929,111339,111.339
930,122968,122.968
931,68518,68.518
932,137647,137.647
933,95876,95.876
934,84033,84.033
935,70563,70.563
936,73968,73.968
937,74535,74.535
938,65759,65.759
939,109314,109.314
940,64846,64.846
941,73993,73.993
942,121359,121.359
943,66003,66.003
944,75483,75.483
945,52249,52.249
946,92845,92.845
947,162754,162.754
948,74385,74.385
949,69053,69.053
950,71567,71.567
951,62584,62.584
952,69607,69.607
953,73278,73.278
954,94636,94.636
955,70613,70.613
956,72077,72.077
957,71277,71.277
958,68344,68.344
959,65199,65.199
960,65236,65.236
961,67730,67.73
962,74166,74.166
963,59171,59.171
964,81974,81.974
965,45001,45.001
966,52378,52.378
967,71478,71.478
968,87458,87.458
969,90212,90.212
970,75795,75.795
971,91214,91.214
972,99720,99.72
973,136732,136.732
974,80892,80.892
975,65571,65.571
976,80864,80.864
977,96949,96.949
978,82805,82.805
979,187710,187.71
980,77187,77.187
981,151718,151.718
982,144790,144.79
983,76239,76.239
984,87649,87.649
985,131308,131.308
986,101279,101.279
987,75049,75.049
988,76299,76.299
989,97466,97.466
990,87985,87.985
991,139138,139.138
992,117226,117.226
993,81670,81.67
994,97633,97.633
995,77132,77.132
996,114440,114.44
997,81514,81.514
998,108418,108.418
999,72238,72.238
1000,68524,68.524
1001,209442,209.442
1002,121690,121.69
1003,119025,119.025
1004,81272,81.272
1005,87801,87.801
1006,138916,138.916
1007,66200,66.2
1008,100747,100.747
1009,76788,76.788
1010,86177,86.177
1011,82640,82.64
1012,81141,81.141
1013,80747,80.747
1014,70704,70.704
1015,74201,74.201
1016,76897,76.897
1017,87693,87.693
1018,114739,114.739
1019,109662,109.662
1020,97994,97.994
1021,85999,85.999
1022,135708,135.708
1023,133341,133.341
1024,104189,104.189
1025,109790,109.79
1026,59483,59.483
1027,164583,164.583
1028,116822,116.822
1029,77152,77.152
1030,84685,84.685
1031,219506,219.506
1032,196108,196.108
1033,89647,89.647
1034,122091,122.091
1035,97653,97.653
1036,127805,127.805
1037,85929,85.929
1038,105139,105.139
1039,101496,101.496
1040,103336,103.336
1041,90205,90.205
1042,80460,80.46
1043,241692,241.692
1044,92968,92.968
1045,92920,92.92
1046,95707,95.707
1047,119668,119.668
1048,197757,197.757
1049,101412,101.412
1050,140257,140.257
1051,100153,100.153
1052,102256,102.256
1053,136238,136.238
1054,105501,105.501
1055,119727,119.727
1056,86932,86.932
1057,162208,162.208
1058,135622,135.622
