run,packet,e2e_latency_ms
1,883,2.011061
1,884,1.893044
1,885,2.117872
1,886,3.319979
1,887,2.017975
1,888,2.446890
1,889,2.047062
1,890,1.868963
1,891,2.403021
1,892,2.151966
1,893,2.505064
1,894,2.119064
1,895,2.077818
1,896,2.120018
1,897,2.153873
1,898,1.781940
1,899,1.996994
1,900,2.237082
1,901,2.125978
1,902,1.399040
1,903,2.758026
1,904,3.031015
1,905,1.926899
1,906,3.519058
1,907,2.080917
1,908,1.933098
1,909,2.054214
1,910,3.405094
1,911,2.846003
1,912,1.712084
1,913,2.120018
1,914,3.539085
1,915,1.724958
1,916,1.893997
1,917,2.224922
1,918,1.740932
1,919,2.044916
1,920,2.110004
1,921,3.322124
1,922,2.223015
1,923,1.638889
1,924,1.839876
1,925,1.924038
1,926,2.089024
1,927,1.945972
1,928,1.839876
1,929,1.749992
1,930,1.778126
1,931,1.878023
1,932,1.929998
1,933,3.057003
1,934,1.777887
1,935,5.043030
1,936,1.513004
1,937,1.807928
1,938,1.909971
1,939,1.775026
1,940,2.197027
1,941,1.690865
1,942,1.580000
1,943,2.421856
1,944,3.749132
1,945,1.943111
1,946,2.103090
1,947,2.335072
1,948,2.250910
1,949,3.767014
1,950,1.985788
1,951,2.060175
1,952,2.079964
1,953,2.366066
1,954,1.604080
1,955,3.131866
1,956,1.826048
1,957,1.747131
1,958,2.072811
1,959,1.957893
1,960,1.312017
1,961,1.811981
1,962,2.115011
1,963,2.623796
1,964,2.143860
1,965,2.090931
1,966,2.907038
1,967,2.568007
1,968,3.072977
1,969,2.027035
1,970,3.112793
1,971,2.240896
1,972,1.932859
1,973,2.024889
1,974,2.118826
1,975,1.960993
1,976,1.626968
1,977,1.913071
1,978,1.758814
1,979,1.708984
1,980,1.742125
1,981,1.696110
1,982,1.694918
1,983,1.899004
1,984,2.131939
1,985,2.213001
1,986,1.694918
1,987,1.564980
1,988,1.615047
1,989,1.384974
1,990,1.734018
1,991,1.703024
1,992,1.391888
1,993,0.696182
1,994,1.142025
1,995,1.228094
1,996,1.061916
1,997,2.045155
1,998,1.586914
1,999,1.173019
1,1000,2.329111
