packet_counter,encrypt_time_ns,encrypt_time_us
635,103847,103.847
636,99880,99.88
637,79465,79.465
638,93162,93.162
639,86003,86.003
640,76942,76.942
641,78936,78.936
642,89598,89.598
643,82928,82.928
644,84321,84.321
645,95223,95.223
646,76129,76.129
647,160159,160.159
648,67262,67.262
649,68507,68.507
650,93960,93.96
651,56600,56.6
652,84102,84.102
653,83598,83.598
654,70284,70.284
655,102342,102.342
656,98928,98.928
657,147618,147.618
658,101612,101.612
659,104038,104.038
660,76752,76.752
661,70983,70.983
662,88920,88.92
663,74382,74.382
664,81327,81.327
665,137399,137.399
666,159508,159.508
667,110515,110.515
668,102477,102.477
669,91206,91.206
670,123677,123.677
671,1162220,1162.22
672,89473,89.473
673,99115,99.115
674,70870,70.87
675,65974,65.974
676,79920,79.92
677,109384,109.384
678,71969,71.969
679,93826,93.826
680,101211,101.211
681,78901,78.901
682,106866,106.866
683,76446,76.446
684,76318,76.318
685,113565,113.565
686,91621,91.621
687,102627,102.627
688,74503,74.503
689,109383,109.383
690,126736,126.736
691,78727,78.727
692,129237,129.237
693,70939,70.939
694,84095,84.095
695,66783,66.783
696,66030,66.03
697,123053,123.053
698,87349,87.349
699,128458,128.458
700,132815,132.815
701,75186,75.186
702,112333,112.333
703,67440,67.44
704,303668,303.668
705,83451,83.451
706,78052,78.052
707,64281,64.281
708,188779,188.779
709,113040,113.04
710,99033,99.033
711,99853,99.853
712,92887,92.887
713,82286,82.286
714,141523,141.523
715,151488,151.488
716,135636,135.636
717,107589,107.589
718,69006,69.006
719,88117,88.117
720,72819,72.819
721,78551,78.551
722,113537,113.537
723,61291,61.291
724,94794,94.794
725,98244,98.244
726,72548,72.548
727,92429,92.429
728,208896,208.896
729,160816,160.816
730,139787,139.787
731,70483,70.483
732,78947,78.947
733,57922,57.922
734,81096,81.096
735,155009,155.009
736,70802,70.802
737,129183,129.183
738,66481,66.481
739,80354,80.354
740,107451,107.451
741,85793,85.793
742,74001,74.001
743,68042,68.042
744,78487,78.487
745,79089,79.089
746,76683,76.683
747,74748,74.748
748,73622,73.622
749,88576,88.576
750,75341,75.341
751,58718,58.718
752,111216,111.216
753,79768,79.768
754,83428,83.428
755,95377,95.377
756,69748,69.748
757,120969,120.969
758,58939,58.939
759,124169,124.169
760,107278,107.278
761,106167,106.167
762,151485,151.485
763,62971,62.971
764,139101,139.101
765,71440,71.44
766,120718,120.718
767,154460,154.46
768,137266,137.266
769,195079,195.079
770,149380,149.38
771,112318,112.318
772,89853,89.853
773,89726,89.726
774,79657,79.657
775,131990,131.99
776,114508,114.508
777,93368,93.368
778,134559,134.559
779,109311,109.311
780,129230,129.23
781,149460,149.46
782,148468,148.468
783,100898,100.898
784,81289,81.289
785,84029,84.029
786,74841,74.841
787,139156,139.156
788,104102,104.102
789,126174,126.174
790,241466,241.466
791,119385,119.385
792,106969,106.969
793,87793,87.793
794,75972,75.972
795,93471,93.471
796,73601,73.601
797,76596,76.596
798,84956,84.956
799,285992,285.992
800,111254,111.254
801,95443,95.443
802,81148,81.148
803,74050,74.05
804,108933,108.933
805,72364,72.364
806,68820,68.82
807,65912,65.912
808,70780,70.78
809,126105,126.105
810,129309,129.309
811,255224,255.224
812,85249,85.249
813,74171,74.171
814,109450,109.45
815,106921,106.921
816,148923,148.923
817,84451,84.451
818,71586,71.586
819,73974,73.974
820,90428,90.428
821,124853,124.853
822,91225,91.225
823,113674,113.674
824,62807,62.807
825,87105,87.105
826,76002,76.002
827,74802,74.802
828,102016,102.016
829,94758,94.758
830,79203,79.203
831,82149,82.149
832,94136,94.136
833,79152,79.152
834,78760,78.76
835,144144,144.144
836,151844,151.844
837,146887,146.887
838,78029,78.029
839,84920,84.92
840,73728,73.728
841,68472,68.472
842,79010,79.01
843,74128,74.128
844,213101,213.101
845,81023,81.023
846,80835,80.835
847,94326,94.326
848,93185,93.185
849,177755,177.755
850,97481,97.481
851,78096,78.096
852,83283,83.283
853,65899,65.899
854,141888,141.888
855,137812,137.812
856,204186,204.186
857,87967,87.967
858,137128,137.128
859,72268,72.268
860,76630,76.63
861,142789,142.789
862,81293,81.293
863,82294,82.294
864,107061,107.061
865,73110,73.11
866,75404,75.404
867,100824,100.824
868,179536,179.536
869,118138,118.138
870,141187,141.187
871,62469,62.469
872,91025,91.025
873,129370,129.37
874,76654,76.654
875,75930,75.93
876,301570,301.57
877,107792,107.792
878,92606,92.606
879,117820,117.82
880,131805,131.805
881,93892,93.892
882,100360,100.36
883,110948,110.948
884,89884,89.884
885,87119,87.119
886,142584,142.584
887,98763,98.763
888,100411,100.411
889,133749,133.749
890,189579,189.579
891,93306,93.306
892,135336,135.336
893,84244,84.244
894,146707,146.707
895,81174,81.174
896,89855,89.855
897,73624,73.624
898,98412,98.412
899,129701,129.701
900,85900,85.9
901,154575,154.575
902,103109,103.109
903,88814,88.814
904,94246,94.246
905,68346,68.346
906,84121,84.121
907,68835,68.835
908,75011,75.011
909,110695,110.695
910,98015,98.015
911,82240,82.24
912,151986,151.986
913,63359,63.359
914,75116,75.116
915,74690,74.69
916,65901,65.901
917,104513,104.513
918,129375,129.375
919,79639,79.639
920,112264,112.264
921,87063,87.063
922,77108,77.108
923,90016,90.016
924,110696,110.696
925,65767,65.767
926,62137,62.137
927,69509,69.509
928,136133,136.133
929,93071,93.071
930,84799,84.799
931,90434,90.434
932,96970,96.97
933,60513,60.513
934,79141,79.141
935,75472,75.472
936,71377,71.377
937,72126,72.126
938,66582,66.582
939,75986,75.986
940,92968,92.968
941,116414,116.414
942,78764,78.764
943,63937,63.937
944,85856,85.856
945,145174,145.174
946,83785,83.785
947,100122,100.122
948,75114,75.114
949,63755,63.755
950,97988,97.988
951,58741,58.741
952,77260,77.26
953,129384,129.384
954,155648,155.648
955,215062,215.062
956,185325,185.325
957,137411,137.411
958,171313,171.313
959,155496,155.496
960,124844,124.844
961,110987,110.987
962,191211,191.211
963,130876,130.876
964,89215,89.215
965,65185,65.185
966,65842,65.842
967,92895,92.895
968,80584,80.584
969,96796,96.796
970,131193,131.193
971,69383,69.383
972,125567,125.567
973,77644,77.644
974,87705,87.705
975,78321,78.321
976,139306,139.306
977,87968,87.968
978,79317,79.317
979,104931,104.931
980,102429,102.429
981,93247,93.247
982,149560,149.56
983,88701,88.701
984,101760,101.76
985,85165,85.165
986,159631,159.631
987,154970,154.97
988,90850,90.85
989,129699,129.699
990,234481,234.481
991,122793,122.793
992,129568,129.568
993,96390,96.39
994,155923,155.923
995,88994,88.994
996,76076,76.076
997,78969,78.969
998,201017,201.017
999,160813,160.813
1000,134551,134.551
1001,193055,193.055
1002,381625,381.625
1003,122745,122.745
1004,125994,125.994
1005,162303,162.303
1006,94284,94.284
1007,121599,121.599
1008,91624,91.624
1009,127296,127.296
1010,96550,96.55
1011,98534,98.534
1012,94390,94.39
1013,88963,88.963
1014,114500,114.5
1015,87191,87.191
1016,67138,67.138
1017,76369,76.369
1018,84739,84.739
1019,283380,283.38
1020,120552,120.552
1021,86707,86.707
1022,87351,87.351
1023,113609,113.609
1024,93540,93.54
1025,77920,77.92
1026,81693,81.693
1027,85581,85.581
1028,71681,71.681
1029,145628,145.628
1030,97960,97.96
1031,86005,86.005
1032,117847,117.847
1033,114734,114.734
1034,100122,100.122
1035,111555,111.555
1036,117518,117.518
1037,112457,112.457
1038,132899,132.899
1039,115822,115.822
1040,98439,98.439
1041,108705,108.705
1042,125734,125.734
1043,106122,106.122
1044,96551,96.551
1045,126228,126.228
1046,104133,104.133
1047,118771,118.771
1048,114165,114.165
1049,97357,97.357
1050,102491,102.491
1051,74298,74.298
1052,81852,81.852
1053,124482,124.482
1054,87120,87.12
1055,231564,231.564
1056,376445,376.445
1057,125690,125.69
1058,120420,120.42
1059,225814,225.814
1060,111158,111.158
1061,101594,101.594
1062,377240,377.24
1063,172389,172.389
1064,343622,343.622
1065,84829,84.829
1066,95945,95.945
1067,124197,124.197
1068,200178,200.178
1069,89624,89.624
1070,97556,97.556
1071,99278,99.278
1072,81374,81.374
1073,110810,110.81
1074,94756,94.756
1075,144488,144.488
1076,127511,127.511
1077,147183,147.183
1078,157043,157.043
1079,148252,148.252
1080,163008,163.008
1081,179143,179.143
1082,180717,180.717
1083,108746,108.746
1084,102994,102.994
1085,166062,166.062
1086,162177,162.177
1087,117719,117.719
1088,129295,129.295
1089,112091,112.091
1090,105864,105.864
1091,94619,94.619
